,secID,tradeDate,ticker,ChgPct,Close,DownPct,LimitDownPct,LimitUpPct,MA5,MA10,MA20,MA60,MA120,MACD,DIFF,DEA,PB1,PB2,PE1,PE2,RSI12,TurnoverValue,TurnoverVol,UpPct,updateTime
912,000001.ZICN,2018-09-26,000001,0.9232,2806.8133,34.413,0.3374,0.6748,2769.1061,2722.1601,2717.8856,2763.899,2917.7626,33.8985,4.2019,-12.7474,1.3704,2.585,12.3831,44.2975,63.3014,1.45058769415e+11,13956770600,52.7665,2019-01-23 15:21:34
913,000001.ZICN,2018-09-27,000001,-0.5358,2791.7748,79.6221,1.0796,0.5398,2781.291,2735.7266,2719.0096,2764.4431,2914.9348,33.3622,8.104,-8.5771,1.3623,2.5316,12.3096,42.7876,60.0446,1.2344771157e+11,12399769600,15.6545,2019-01-23 15:21:34
914,000001.ZICN,2018-09-28,000001,1.0594,2821.3501,13.4187,0.5394,0.8766,2799.7123,2749.2037,2723.1903,2765.9009,2912.2936,35.2085,13.4282,-4.176,1.3784,2.5631,12.4551,43.8592,64.0164,1.25369989366e+11,13429045600,80.2428,2019-01-23 15:21:34
915,000001.ZICN,2018-10-08,000001,-3.7159,2716.5104,92.4477,1.9555,0.4046,2783.5174,2752.6905,2722.7533,2765.3889,2908.3451,21.2149,9.0833,-1.5242,1.3267,2.4777,11.9877,43.1367,46.2409,1.41531551815e+11,14950138800,5.1247,2019-01-23 15:21:34
916,000001.ZICN,2018-10-09,000001,0.1657,2721.013,36.2534,0.7412,0.8086,2771.4923,2759.6129,2722.7672,2763.8207,2904.2862,11.9344,5.9348,-0.0324,1.3286,2.4888,12.0046,43.3005,46.9313,1.10292457792e+11,11677189900,54.7844,2019-01-23 15:21:34
917,000001.ZICN,2018-10-10,000001,0.1773,2725.8367,36.6577,0.5391,0.876,2755.297,2762.2016,2721.53,2762.1242,2900.5002,6.1081,3.7852,0.7311,1.3316,2.5027,12.0319,43.4594,47.716,1.11312455274e+11,11348573600,54.5148,2019-01-23 15:21:34
918,000001.ZICN,2018-10-11,000001,-5.2233,2583.4575,96.9003,44.1375,0.2695,2713.6335,2747.4623,2715.4861,2758.8856,2895.7036,-16.0498,-9.3,-1.2751,1.2644,2.3241,11.4248,40.2381,32.3248,1.70057762479e+11,19715070200,1.4151,2019-01-23 15:21:34
919,000001.ZICN,2018-10-12,000001,0.9079,2606.9125,59.973,2.5606,0.7412,2670.746,2735.2292,2711.252,2755.0399,2891.5058,-26.0796,-17.5749,-4.535,1.2788,2.2985,11.5544,39.8287,36.0328,1.42803208852e+11,17008163500,35.4447,2019-01-23 15:21:34
920,000001.ZICN,2018-10-15,000001,-1.4889,2568.0984,80.4714,1.3468,0.404,2641.0636,2712.2905,2704.5419,2750.6551,2887.35,-35.8704,-26.954,-9.0188,1.2598,2.2707,11.3822,39.3222,32.7895,1.05214738288e+11,11857619700,15.3535,2019-01-23 15:21:34
921,000001.ZICN,2018-10-16,000001,-0.8477,2546.3296,81.6162,2.963,0.6734,2606.1269,2688.8096,2698.3842,2746.1932,2882.8077,-42.7407,-35.7318,-14.3614,1.2516,2.2289,11.3077,37.892,31.078,1.06792245463e+11,11941914400,14.8822,2019-01-23 15:21:34
922,000001.ZICN,2018-10-17,000001,0.6003,2561.614,23.755,1.5478,1.2786,2573.2824,2664.2897,2693.2249,2742.2514,2878.1764,-42.5936,-40.9824,-19.6856,1.2585,2.2379,11.3642,38.0925,33.7276,1.17388355749e+11,12995399700,71.3997,2019-01-23 15:21:34
923,000001.ZICN,2018-10-18,000001,-2.9355,2486.4186,90.7806,5.7201,0.4711,2553.8746,2633.7541,2684.7403,2737.2374,2873.3004,-49.5072,-50.6276,-25.874,1.2227,2.1732,11.0412,36.6262,27.959,1.06576761128e+11,12542851300,7.0659,2019-01-23 15:21:34
924,000001.ZICN,2018-10-19,000001,2.5759,2550.4652,9.354,0.8748,1.3459,2542.5852,2606.6656,2677.9347,2733.5361,2868.9875,-42.5989,-52.4984,-31.1989,1.2551,2.2094,11.3322,37.291,37.8378,1.30095922321e+11,14732355800,88.0215,2019-01-23 15:21:34
925,000001.ZICN,2018-10-22,000001,4.0938,2654.8762,0.3365,0.0673,7.537,2559.9407,2600.5022,2676.5963,2730.6295,2865.037,-22.1405,-45.0367,-33.9665,1.3051,2.3194,11.78,39.0761,50.0254,1.97309812993e+11,21188844900,98.6541,2019-01-23 15:21:34
926,000001.ZICN,2018-10-23,000001,-2.2619,2594.8255,79.8789,0.5384,1.6824,2569.6399,2587.8834,2673.7482,2726.2175,2860.6775,-15.2021,-43.4678,-35.8667,1.2744,2.2868,11.4984,38.6419,44.5457,1.66919412302e+11,17834354300,17.0929,2019-01-23 15:21:34
